P(AH | #)	is	0.049174443646805455
P(T | #)	is	0.0399617133285475
P(EH | #)	is	0.023899258195740607
P(AE | #)	is	0.023719789423307013
P(EY | #)	is	0.003589375448671931
P(AA | #)	is	0.010857860732232591
P(IH | #)	is	0.049413735343383586
P(IY | #)	is	0.00260229720028715
P(AY | #)	is	0.004426896386695382
P(AO | #)	is	0.007836803062933715
P(ER | #)	is	0.003230437903804738
P(AW | #)	is	0.002871500358937545
P(OW | #)	is	0.007418042593921991
P(B | #)	is	0.06054079923426657
P(S | #)	is	0.10609595597032782
P(K | #)	is	0.09419119406556592
P(CH | #)	is	0.008644412538884901
P(SH | #)	is	0.013131131849724814
P(Z | #)	is	0.001585307489830103
P(D | #)	is	0.06110911701363963
P(JH | #)	is	0.015135199808566643
P(Y | #)	is	0.006520698731754008
P(F | #)	is	0.04669179229480737
P(G | #)	is	0.028655180665230918
P(ZH | #)	is	0.00014955731036133047
P(N | #)	is	0.020997846374730796
P(HH | #)	is	0.037957645369705674
P(W | #)	is	0.02650155539602776
P(L | #)	is	0.034607561617611866
P(M | #)	is	0.05503709021296961
P(OY | #)	is	0.000329026082794927
P(UW | #)	is	0.00014955731036133047
P(P | #)	is	0.07112945680784877
P(R | #)	is	0.05886575735821967
P(TH | #)	is	0.006520698731754008
P(DH | #)	is	0.0011665470208183776
P(V | #)	is	0.015284757118927973
P(# | AH)	is	0.029350901642805863
P(L | AH)	is	0.1627180201866633
P(N | AH)	is	0.2775877359685798
P(B | AH)	is	0.03767050973436378
P(D | AH)	is	0.0668947168377043
P(T | AH)	is	0.08045103256049664
P(K | AH)	is	0.03272942269521517
P(G | AH)	is	0.015287807762152118
P(S | AH)	is	0.09641454453313063
P(V | AH)	is	0.010473415262468854
P(HH | AH)	is	0.002069344144600701
P(M | AH)	is	0.0612356940749187
P(P | AH)	is	0.028252882300772837
P(Z | AH)	is	0.0400354744710503
P(W | AH)	is	0.005194476118079311
P(CH | AH)	is	0.0024494277629967484
P(JH | AH)	is	0.010684572828244436
P(NG | AH)	is	0.004687697960217915
P(F | AH)	is	0.027450483550825626
P(TH | AH)	is	0.0034207525655644243
P(DH | AH)	is	0.0013936399341188395
P(SH | AH)	is	0.003040668947168377
P(R | AH)	is	0.0002956205920858144
P(EY | AH)	is	4.223151315511635e-05
P(Y | AH)	is	4.223151315511635e-05
P(ZH | AH)	is	0.00012669453946534905
P(R | T)	is	0.0861756926075456
P(# | T)	is	0.21627453710148964
P(AH | T)	is	0.16490324377001253
P(IY | T)	is	0.057705693999721565
P(S | T)	is	0.08332173186690797
P(IH | T)	is	0.10260336906584992
P(L | T)	is	0.018655158011972713
P(N | T)	is	0.004037310316023945
P(EY | T)	is	0.027704301823750523
P(EH | T)	is	0.03522205206738132
P(ER | T)	is	0.0837393846582208
P(OW | T)	is	0.012808018933593205
P(M | T)	is	0.005499095085618823
P(HH | T)	is	0.0015313935681470138
P(AY | T)	is	0.01503550048726159
P(UW | T)	is	0.012181539746623973
P(AO | T)	is	0.013782542113323124
P(AA | T)	is	0.013852150911875262
P(AE | T)	is	0.023249338716413756
P(W | T)	is	0.004872615898649589
P(F | T)	is	0.004176527913128219
P(UH | T)	is	0.0018098287623555618
P(AW | T)	is	0.0027147431435333427
P(K | T)	is	0.0016706111652512877
P(B | T)	is	0.0020882639565641095
P(D | T)	is	0.000626479186969233
P(T | T)	is	0.00020882639565641096
P(Y | T)	is	0.0007656967840735069
P(TH | T)	is	0.00013921759710427398
P(P | T)	is	0.0010441319782820548
P(Z | T)	is	6.960879855213699e-05
P(CH | T)	is	0.00013921759710427398
P(G | T)	is	0.000626479186969233
P(V | T)	is	6.960879855213699e-05
P(SH | T)	is	6.960879855213699e-05
P(OY | T)	is	0.000626479186969233
P(IH | R)	is	0.08317880794701987
P(AH | R)	is	0.18710816777041941
P(IY | R)	is	0.13969094922737307
P(D | R)	is	0.03346578366445916
P(M | R)	is	0.022869757174392935
P(SH | R)	is	0.004061810154525386
P(T | R)	is	0.038322295805739516
P(EY | R)	is	0.05315673289183223
P(EH | R)	is	0.06410596026490066
P(AO | R)	is	0.011567328918322297
P(B | R)	is	0.007328918322295806
P(P | R)	is	0.005562913907284768
P(AE | R)	is	0.06596026490066226
P(UW | R)	is	0.030022075055187638
P(N | R)	is	0.012185430463576159
P(AA | R)	is	0.03196467991169978
P(# | R)	is	0.033642384105960266
P(Z | R)	is	0.014657836644591611
P(ER | R)	is	0.003002207505518764
P(OY | R)	is	0.003708609271523179
P(OW | R)	is	0.042207505518763795
P(S | R)	is	0.012891832229580574
P(TH | R)	is	0.003973509933774834
P(K | R)	is	0.017660044150110375
P(F | R)	is	0.004415011037527594
P(L | R)	is	0.009624724061810155
P(W | R)	is	0.002119205298013245
P(AY | R)	is	0.0306401766004415
P(CH | R)	is	0.004061810154525386
P(JH | R)	is	0.004768211920529801
P(G | R)	is	0.006357615894039735
P(V | R)	is	0.003443708609271523
P(AW | R)	is	0.007947019867549669
P(HH | R)	is	0.0013245033112582781
P(ZH | R)	is	0.00026490066225165563
P(UH | R)	is	0.0018543046357615894
P(Y | R)	is	8.830022075055188e-05
P(DH | R)	is	0.000706401766004415
P(R | R)	is	8.830022075055188e-05
P(P | IH)	is	0.02521806719060368
P(NG | IH)	is	0.25969427411693585
P(L | IH)	is	0.052940668451507036
P(SH | IH)	is	0.04145435702564988
P(JH | IH)	is	0.018395370930132136
P(V | IH)	is	0.05026340789360048
P(Z | IH)	is	0.023318075826928058
P(S | IH)	is	0.08040417998100009
